epoch,train_loss,val_loss,val_acc,val_macro_f1
1,1.438819157234346,1.9230023568326777,0.15763106101270352,0.15327588464588343
2,1.29187853468789,1.549231319264932,0.2758990874932904,0.3055721421551839
3,1.2302435053719414,1.665821686387062,0.26015387368044374,0.2704463952436617
4,1.1621473881933424,1.5629435831850225,0.2533548040794418,0.30332019046007186
5,1.1371014477026582,1.5696316429159858,0.2776883163356593,0.3182441420740163
6,1.099252206628973,1.3710390315814451,0.35283592771515476,0.39725200610234584
7,1.0641064099591189,1.4177005169066517,0.3227768831633566,0.3615400260702262
8,1.0217486285200024,1.4664979685436597,0.3365539452495974,0.3812933240783989
9,0.985275286014634,1.4143695628101176,0.29397029880121667,0.35025557360285026
10,0.9421769072311094,1.6481483402577313,0.2610484881016282,0.30688181124456104
11,0.9141814859226497,1.2808080823584036,0.35140454464125964,0.4266619249111728
12,0.8762575519205343,1.342265047132969,0.34496332080873143,0.3923312939501462
13,0.8311888239600441,1.2289864028042012,0.3936303453211666,0.4440010079506477
14,0.8014082608800945,1.487093758853999,0.2767937019144749,0.3345440707997443
15,0.7751495786387511,1.256889315491373,0.37877974592950436,0.4310926245083016
16,0.7532873362001746,1.1530963819135318,0.38539989264626945,0.45944150434354125
17,0.7233040815652019,1.2018944011493162,0.39702988012166757,0.44423338705736753
18,0.7141545020570659,1.123052809726108,0.4052603327965647,0.4459885857482374
19,0.7020079382742295,1.1210356449539012,0.41867954911433175,0.4621982246739428
20,0.6874385675998649,1.06580063091083,0.4666308820898193,0.49845631009566804
